"Id","Name","Info"
1,"Liều dùng theo cân nặng","Liều dùng thông thường cho trẻ nhỏ là 10 - 15 mg/kg/liều"
2,"Liều dùng theo thời gian","Liều dùng thông thường cho người lớn là 20 mg mỗi ngày trong 4-8 tuần"
3,"Liều dùng theo số lượng","Người lớn và trẻ em trên 15 tuổi: Uống 12-15 viên 10mg/lần x 2 lần/ngày"
4,"Liều dùng tăng dần","Liều dùng ban đầu thường là 500 mg mỗi ngày, sau đó tăng lên 500 mg mỗi tuần hoặc mỗi 2 tuần"
5,"Liều dùng theo tình trạng bệnh","Trường hợp dùng Paracetamol để hạ sốt với thân nhiệt từ 38,5 độ C trở lên cũng không được dùng quá 3 ngày liên tục"
6,"Liều dùng theo độ tuổi","Trẻ em từ 2-4 tuổi: uống 2 viên 10mg/lần x 2 lần/ngày"
7,"Liều dùng theo thời điểm trong ngày","Liều dùng ban đầu thường là 10-20 mg mỗi ngày vào buổi tối"
8,"Liều dùng theo số lần trong ngày","Liều dùng thông thường ở người lớn là 500 mg – 1000 mg/lần x 2 – 3 lần/ngày"
9,"Liều dùng theo giới tính","Thông tin về liều dùng theo giới tính"
10,"Liều dùng theo thời gian duy trì","Liều dùng duy trì thường là 20-40 mg mỗi ngày"
