"Id","Name","Info"
1,"Cảm lạnh",NULL
2,"Cúm",NULL
3,"Đau răng",NULL
4,"Viêm họng",NULL
5,"Viêm xoang",NULL
6,"Viêm tai giữa",NULL
7,"Viêm mũi",NULL
8,"Viêm phế quản",NULL
9,"Viêm phổi",NULL
10,"Tiểu đường",NULL
11,"Bệnh tim mạch",NULL
12,"Đau dạ dày",NULL
13,"Viêm loét dạ dày",NULL
14,"Viêm gan B",NULL
15,"Viêm gan C",NULL
16,"Sỏi thận",NULL
17,"Sỏi mật",NULL
18,"Gout",NULL
19,"Bệnh Alzheimer",NULL
20,"Bệnh Parkinson",NULL
21,"Bệnh tiểu đường",NULL
22,"Bệnh lao",NULL
23,"Bệnh HIV/AIDS",NULL
24,"Bệnh hen suyễn",NULL
25,"Bệnh tiểu đường",NULL
26,"Bệnh suy thận",NULL
27,"Bệnh viêm khớp",NULL
28,"Bệnh tiểu đường",NULL
